Filename,Min,Max,Mean,Median,Std,Dur
B_ANI01_MC_FN_SIM01_101,390.20,2167.83,918.45,761.19,484.03,2.28
B_ANI01_MC_FN_SIM01_102,469.00,1972.95,1147.84,694.61,660.56,1.42
B_ANI01_MC_FN_SIM01_103,690.26,2036.39,935.35,747.81,447.14,1.80
B_ANI01_MC_FN_SIM01_301,610.33,2045.01,1212.04,750.90,592.02,1.74
B_ANI01_MC_FN_SIM01_302,520.31,649.53,583.96,601.32,41.37,1.27
B_ANI01_MC_FN_SIM01_303,617.02,2017.49,725.67,696.72,193.95,1.92
B_BAC01_MC_MN_SIM01_101,601.82,1426.68,790.44,739.94,229.81,1.16
B_BAC01_MC_MN_SIM01_102,342.36,1898.81,944.36,351.84,770.40,1.23
B_BAC01_MC_MN_SIM01_103,289.96,292.72,291.48,291.77,1.12,1.22
B_BAC01_MC_MN_SIM01_202,1785.14,1888.33,1836.73,1832.66,31.39,1.25
B_BAC01_MC_MN_SIM01_301,1171.47,1375.88,1252.81,1255.84,74.37,1.15
B_BAC01_MC_MN_SIM01_303,497.93,1710.33,1102.07,1100.30,658.85,1.16
B_BRA01_MC_MN_SIM01_101,365.15,859.76,548.49,415.16,217.90,1.46
B_BRA01_MC_MN_SIM01_104,420.71,1656.10,998.99,848.01,414.73,1.31
B_BRA01_MC_MN_SIM01_105,219.57,469.52,277.50,261.48,75.95,1.39
B_BRA01_MC_MN_SIM01_106,157.30,657.53,369.10,410.31,146.47,1.34
B_BRA01_MC_MN_SIM01_301,389.62,1311.24,526.79,406.83,310.44,1.19
B_BRA01_MC_MN_SIM01_302,398.48,440.88,426.31,431.03,13.06,1.30
B_BRA01_MC_MN_SIM01_303,403.80,1878.93,1127.04,1534.18,673.36,1.39
B_BRI01_MC_FI_SIM01_101,422.21,819.86,646.73,668.41,107.46,2.70
B_BRI01_MC_FI_SIM01_102,666.34,860.53,784.58,792.33,58.48,1.50
B_BRI01_MC_FI_SIM01_201,572.76,886.20,704.93,683.09,96.68,1.76
B_BRI01_MC_FI_SIM01_202,199.96,583.40,391.54,380.24,99.42,4.00
B_BRI01_MC_FI_SIM01_301,582.47,794.04,692.31,697.79,61.59,1.30
B_BRI01_MC_FI_SIM01_302,452.45,1336.82,679.50,633.07,191.77,1.60
B_BRI01_MC_FI_SIM01_303,323.56,552.14,447.35,455.33,49.95,3.55
B_CAN01_EU_FN_GIA01_101,284.99,2601.69,1220.00,617.86,1031.31,1.83
B_CAN01_EU_FN_GIA01_102,235.26,2682.84,821.59,555.72,708.72,2.46
B_CAN01_EU_FN_GIA01_103,323.18,2493.16,710.52,585.29,571.79,1.68
B_CAN01_EU_FN_GIA01_104,474.41,614.13,580.04,592.89,41.47,1.56
B_CAN01_EU_FN_GIA01_105,288.30,3164.75,1038.01,530.94,975.90,2.14
B_CAN01_EU_FN_GIA01_201,393.85,627.02,557.96,573.20,52.20,1.90
B_CAN01_EU_FN_GIA01_202,374.74,3394.32,666.80,543.75,631.14,1.83
B_CAN01_EU_FN_GIA01_203,389.29,593.33,491.07,501.69,42.45,1.80
B_CAN01_EU_FN_GIA01_204,286.64,552.68,506.44,529.22,57.88,1.74
B_CAN01_EU_FN_GIA01_205,440.22,592.36,553.30,562.88,34.64,1.82
B_CAN01_EU_FN_GIA01_206,456.01,561.78,528.49,536.69,30.75,1.55
B_CAN01_EU_FN_GIA01_207,437.68,634.66,559.36,581.70,50.67,1.59
B_CAN01_EU_FN_GIA01_208,368.49,575.24,523.08,534.85,48.77,1.82
B_CAN01_EU_FN_GIA01_209,385.46,1953.36,577.14,529.28,283.68,1.87
B_CAN01_EU_FN_GIA01_210,484.77,677.81,602.41,604.82,55.81,1.71
B_CAN01_EU_FN_GIA01_301,398.54,667.28,530.14,539.74,49.98,1.87
B_CAN01_EU_FN_GIA01_302,284.85,594.05,498.96,513.39,87.57,1.84
B_CAN01_EU_FN_GIA01_303,390.98,570.45,515.25,522.78,35.20,1.83
B_CAN01_EU_FN_GIA01_304,332.82,587.69,503.20,538.65,73.61,1.90
B_CAN01_EU_FN_GIA01_305,424.25,690.49,556.18,564.65,52.63,1.79
B_CAN01_EU_FN_GIA01_306,350.74,741.06,536.12,536.90,92.68,1.83
B_CAN01_EU_FN_GIA01_307,260.23,635.37,501.25,521.14,110.92,1.86
B_CAN01_EU_FN_GIA01_308,440.44,556.53,538.59,550.47,28.63,1.66
B_CAN01_EU_FN_GIA01_309,278.02,605.36,480.99,513.08,83.14,1.76
B_CAN01_EU_FN_GIA01_310,293.07,524.43,461.57,494.12,66.43,2.05
B_CAN01_EU_FN_GIA01_311,294.91,591.33,524.69,541.82,61.29,1.83
B_DAK01_MC_FN_SIM01_102,539.96,2222.09,1836.96,1987.28,525.25,1.37
B_DAK01_MC_FN_SIM01_301,91.55,1998.05,760.45,224.45,773.81,2.09
B_DAK01_MC_FN_SIM01_302,88.97,1738.09,740.78,398.15,670.05,1.74
B_DAK01_MC_FN_SIM01_303,67.03,1902.36,1498.13,1674.38,490.89,1.84
B_IND01_EU_FN_ELI01_101,646.69,1074.82,844.53,819.58,112.97,1.89
B_IND01_EU_FN_ELI01_102,277.69,2300.64,837.25,813.10,308.83,1.68
B_IND01_EU_FN_ELI01_103,438.53,2943.03,806.02,663.15,524.01,3.42
B_IND01_EU_FN_ELI01_201,656.23,863.67,794.96,815.17,61.91,1.80
B_IND01_EU_FN_ELI01_202,470.20,792.01,652.23,645.76,70.51,2.38
B_IND01_EU_FN_ELI01_203,575.94,2314.85,1413.86,1541.61,561.08,1.64
B_IND01_EU_FN_ELI01_301,706.66,1610.14,949.56,757.32,357.70,1.31
B_IND01_EU_FN_ELI01_302,584.26,768.15,686.60,689.34,65.67,1.88
B_IND01_EU_FN_ELI01_303,573.59,888.41,739.93,746.65,78.32,1.75
B_IND01_EU_FN_ELI01_304,526.32,779.35,702.62,714.69,60.66,2.07
B_IND01_EU_FN_ELI01_305,679.02,2602.11,1093.32,725.00,737.82,1.84
B_JJX01_MC_FN_SIM01_101,495.01,521.19,505.60,503.10,11.92,1.17
B_JJX01_MC_FN_SIM01_102,1750.57,1937.60,1857.79,1884.36,75.06,1.11
B_JJX01_MC_FN_SIM01_103,650.36,977.42,765.57,719.73,110.45,1.42
B_JJX01_MC_FN_SIM01_201,618.99,878.74,776.29,778.04,60.22,1.49
B_JJX01_MC_FN_SIM01_202,408.65,764.53,661.51,671.56,53.35,1.89
B_JJX01_MC_FN_SIM01_301,500.39,1812.10,764.96,599.71,414.57,1.39
B_JJX01_MC_FN_SIM01_302,511.28,865.44,734.67,818.40,132.46,1.42
B_MAG01_EU_FN_FED01_101,286.51,2080.01,570.36,476.68,437.33,1.77
B_MAG01_EU_FN_FED01_102,170.67,2096.69,663.54,411.05,587.40,1.74
B_MAG01_EU_FN_FED01_103,283.04,423.28,380.55,392.94,37.10,1.74
B_MAG01_EU_FN_FED01_201,353.97,2395.64,738.40,485.04,682.65,1.68
B_MAG01_EU_FN_FED01_202,281.84,308.66,294.69,294.12,14.27,1.49
B_MAG01_EU_FN_FED01_203,387.36,3034.27,1896.00,2910.43,1325.55,1.70
B_MAG01_EU_FN_FED01_204,354.08,1020.48,547.91,456.10,223.54,1.85
B_MAG01_EU_FN_FED01_205,364.24,517.23,451.58,454.44,44.64,1.80
B_MAG01_EU_FN_FED01_301,294.86,704.09,515.60,535.86,101.12,2.02
B_MAG01_EU_FN_FED01_302,392.41,457.02,428.45,422.35,20.12,1.61
B_MAT01_EU_FN_RIT01_101,585.75,806.11,733.77,752.55,58.05,1.87
B_MAT01_EU_FN_RIT01_102,571.77,3057.35,978.03,789.35,641.58,1.75
B_MAT01_EU_FN_RIT01_201,543.87,849.55,720.32,736.75,103.78,1.47
B_MAT01_EU_FN_RIT01_202,542.44,687.13,629.25,634.19,43.69,1.37
B_MAT01_EU_FN_RIT01_203,443.63,1554.36,613.00,579.46,224.10,1.88
B_MAT01_EU_FN_RIT01_204,267.82,674.45,548.99,568.02,94.65,2.57
B_MAT01_EU_FN_RIT01_205,574.86,764.59,684.95,700.35,61.66,1.93
B_MAT01_EU_FN_RIT01_206,523.52,706.38,608.77,618.30,50.81,2.17
B_MAT01_EU_FN_RIT01_207,456.55,1571.23,617.64,566.47,228.12,2.30
B_MAT01_EU_FN_RIT01_301,316.53,3061.45,1272.39,531.38,1040.81,1.95
B_MIN01_EU_FN_BEN01_101,198.62,1715.19,304.24,213.28,195.26,2.42
B_MIN01_EU_FN_BEN01_102,195.56,2586.38,446.17,320.72,511.94,3.15
B_MIN01_EU_FN_BEN01_103,342.10,2963.65,617.13,463.76,631.63,2.88
B_MIN01_EU_FN_BEN01_104,213.33,869.92,426.25,431.47,82.38,2.54
B_NIG01_MC_MN_SIM01_101,663.47,954.49,915.15,935.62,61.80,1.66
B_NIG01_MC_MN_SIM01_102,595.10,992.82,821.89,840.94,101.27,1.74
B_NIG01_MC_MN_SIM01_103,468.77,1910.14,991.41,905.69,440.70,1.48
B_NIG01_MC_MN_SIM01_201,544.65,746.09,645.90,658.77,57.82,3.49
B_NUL01_MC_MI_SIM01_102,137.03,2085.37,830.53,540.31,703.17,1.91
B_NUL01_MC_MI_SIM01_201,286.02,980.27,620.74,534.34,213.26,2.95
B_NUL01_MC_MI_SIM01_301,376.91,575.48,525.08,540.35,50.56,1.81
B_NUL01_MC_MI_SIM01_302,310.59,1115.73,629.39,488.70,274.54,1.91
B_REG01_EU_FN_GIO01_101,615.21,2146.89,818.27,676.83,416.49,1.94
B_REG01_EU_FN_GIO01_102,334.09,1040.01,549.84,533.99,162.44,2.20
B_REG01_EU_FN_GIO01_201,326.68,2711.03,1406.81,689.98,985.65,1.93
B_SPI01_EU_MN_NAI01_101,260.09,556.31,477.13,483.08,62.05,2.05
B_SPI01_EU_MN_NAI01_102,253.02,488.68,381.76,405.78,71.07,1.75
B_SPI01_EU_MN_NAI01_103,241.77,592.86,421.40,460.24,96.01,1.90
B_SPI01_EU_MN_NAI01_301,225.56,624.42,377.00,286.33,146.98,1.83
B_TIG01_EU_FN_GIU01_201,304.77,541.50,456.15,478.66,67.21,1.78
B_TIG01_EU_FN_GIU01_301,507.64,3103.63,750.20,588.71,613.65,1.93
B_WHO01_MC_FI_SIM01_101,706.60,1005.90,867.83,863.77,79.96,1.94
B_WHO01_MC_FI_SIM01_102,667.46,1060.30,824.34,813.57,134.14,1.96
B_WHO01_MC_FI_SIM01_103,594.39,1054.27,748.88,707.03,146.98,2.33
B_WHO01_MC_FI_SIM01_104,302.65,1256.55,559.79,570.97,185.59,1.91
B_WHO01_MC_FI_SIM01_201,699.88,2102.91,845.37,763.97,292.00,2.01
B_WHO01_MC_FI_SIM01_202,762.31,956.04,839.70,820.68,54.42,2.00
B_WHO01_MC_FI_SIM01_203,1005.01,1797.95,1112.21,1074.81,184.46,1.29
B_WHO01_MC_FI_SIM01_204,583.91,1047.23,786.95,754.83,117.33,1.97
B_WHO01_MC_FI_SIM01_301,485.63,736.84,676.71,688.75,53.07,1.79
B_WHO01_MC_FI_SIM01_302,291.24,722.78,574.25,617.13,139.53,2.35
B_WHO01_MC_FI_SIM01_304,502.29,994.90,762.35,779.55,144.98,2.00
B_WHO01_MC_FI_SIM01_305,661.94,894.26,818.56,844.01,70.88,1.45
F_BAC01_MC_MN_SIM01_101,690.52,792.23,739.04,737.74,33.84,1.22
F_BAC01_MC_MN_SIM01_102,661.26,1999.31,836.79,769.74,311.22,1.39
F_BAC01_MC_MN_SIM01_103,642.26,1900.58,880.41,692.57,421.57,1.44
F_BAC01_MC_MN_SIM01_104,516.43,2010.41,1085.68,698.10,614.21,1.49
F_BAC01_MC_MN_SIM01_105,206.92,1747.02,458.58,332.96,437.00,1.44
F_BAC01_MC_MN_SIM01_201,630.49,716.13,678.68,683.86,27.16,1.32
F_BAC01_MC_MN_SIM01_202,536.66,711.83,633.71,623.77,58.55,1.39
F_BAC01_MC_MN_SIM01_203,602.02,727.30,682.31,695.73,32.80,1.51
F_BAC01_MC_MN_SIM01_301,569.10,828.42,752.75,801.17,103.01,1.11
F_BAC01_MC_MN_SIM01_302,297.31,1042.18,690.03,750.79,179.66,1.38
F_BAC01_MC_MN_SIM01_303,670.15,769.70,711.81,709.21,31.11,1.36
F_BAC01_MC_MN_SIM01_304,620.04,854.84,707.19,709.81,51.30,1.40
F_BLE01_EU_FN_DEL01_101,913.57,1053.37,987.99,985.15,34.09,1.50
F_BLE01_EU_FN_DEL01_102,868.88,1003.98,937.98,948.50,49.24,1.36
F_BLE01_EU_FN_DEL01_103,758.42,1061.37,934.45,974.29,100.05,1.50
F_BRA01_MC_MN_SIM01_301,353.00,3103.00,875.26,765.46,710.45,1.77
F_BRA01_MC_MN_SIM01_302,403.95,549.38,489.98,493.27,32.72,1.70
F_BRI01_MC_FI_SIM01_101,660.30,926.89,833.18,862.29,77.79,1.65
F_BRI01_MC_FI_SIM01_102,520.32,773.79,649.48,631.08,80.66,1.51
F_BRI01_MC_FI_SIM01_103,793.38,853.22,827.60,831.02,19.07,1.52
F_BRI01_MC_FI_SIM01_104,673.89,842.42,791.40,809.63,50.14,1.52
F_BRI01_MC_FI_SIM01_105,540.37,886.58,712.77,698.38,143.76,1.43
F_BRI01_MC_FI_SIM01_106,524.76,855.51,698.81,693.02,121.04,1.42
F_BRI01_MC_FI_SIM01_201,679.76,825.37,790.49,801.95,32.62,2.06
F_BRI01_MC_FI_SIM01_202,706.42,822.54,781.94,796.31,36.84,1.76
F_CAN01_EU_FN_GIA01_201,446.21,828.60,602.03,591.00,87.88,1.99
F_CAN01_EU_FN_GIA01_202,461.68,810.19,642.57,624.98,98.30,1.90
F_DAK01_MC_FN_SIM01_301,304.54,2370.39,886.58,361.57,755.80,1.60
F_DAK01_MC_FN_SIM01_302,143.91,1545.77,373.32,324.80,321.19,1.60
F_DAK01_MC_FN_SIM01_303,393.66,558.43,469.11,438.87,63.01,1.40
F_DAK01_MC_FN_SIM01_304,108.21,1614.89,344.08,216.13,331.70,1.55
F_IND01_EU_FN_ELI01_101,502.16,801.50,715.26,744.11,78.78,1.81
F_IND01_EU_FN_ELI01_102,625.96,811.64,768.27,787.50,50.91,1.66
F_IND01_EU_FN_ELI01_103,626.17,837.91,780.60,788.23,42.32,1.72
F_IND01_EU_FN_ELI01_104,468.14,811.03,692.20,709.67,77.28,1.42
F_IND01_EU_FN_ELI01_201,664.41,761.06,710.30,700.08,35.86,1.36
F_IND01_EU_FN_ELI01_202,848.18,889.23,864.01,862.18,11.38,1.29
F_IND01_EU_FN_ELI01_203,750.40,854.11,805.00,813.16,35.76,1.35
F_IND01_EU_FN_ELI01_301,713.88,3387.50,961.38,786.25,664.70,1.65
F_IND01_EU_FN_ELI01_302,591.46,860.79,768.81,782.34,62.16,1.92
F_IND01_EU_FN_ELI01_304,604.62,822.24,746.45,770.51,65.06,1.87
F_LEO01_EU_MI_RIT01_101,320.84,736.89,640.18,667.07,102.00,1.47
F_LEO01_EU_MI_RIT01_102,512.52,709.41,654.82,675.73,47.66,1.57
F_LEO01_EU_MI_RIT01_103,575.05,680.48,620.72,621.67,29.90,1.48
F_LEO01_EU_MI_RIT01_104,498.31,632.39,591.77,609.67,40.53,1.68
F_LEO01_EU_MI_RIT01_105,489.02,713.28,634.65,646.05,52.06,1.75
F_MAG01_EU_FN_FED01_101,142.78,580.61,412.31,455.68,121.92,1.65
F_MAG01_EU_FN_FED01_102,143.63,917.20,386.30,434.68,170.05,1.70
F_MAG01_EU_FN_FED01_103,138.64,526.55,423.32,454.81,111.99,1.70
F_MAG01_EU_FN_FED01_104,146.44,1515.31,396.13,434.82,241.15,1.68
F_MAG01_EU_FN_FED01_105,357.87,494.42,453.93,469.42,42.84,1.68
F_MAG01_EU_FN_FED01_106,313.69,492.16,449.28,466.92,48.69,1.58
F_MAG01_EU_FN_FED01_201,384.72,510.98,467.77,479.77,38.31,1.64
F_MAG01_EU_FN_FED01_202,157.25,2056.29,663.85,484.82,521.20,1.62
F_MAG01_EU_FN_FED01_203,318.90,470.66,434.00,448.43,41.69,1.80
F_MAG01_EU_FN_FED01_301,234.73,416.65,349.29,350.26,59.81,1.36
F_MAG01_EU_FN_FED01_302,297.16,484.47,434.67,448.39,50.08,1.62
F_MAG01_EU_FN_FED01_303,280.60,303.77,292.95,293.00,7.23,1.52
F_MAG01_EU_FN_FED01_304,279.62,389.74,359.63,371.02,32.59,1.50
F_MAG01_EU_FN_FED01_305,382.95,421.27,406.87,406.79,10.29,1.69
F_MAT01_EU_FN_RIT01_101,748.28,958.44,804.78,789.79,44.33,2.07
F_MAT01_EU_FN_RIT01_102,553.24,825.77,763.87,783.98,62.92,1.76
F_MAT01_EU_FN_RIT01_103,561.76,806.41,730.76,747.78,60.64,1.88
F_MAT01_EU_FN_RIT01_301,638.37,1043.15,784.18,743.08,120.37,2.21
F_MAT01_EU_FN_RIT01_302,594.56,969.83,744.63,695.83,113.90,1.88
F_MAT01_EU_FN_RIT01_303,634.72,2927.55,1089.46,696.71,787.32,1.83
F_MEG01_MC_FI_SIM01_301,463.79,3184.59,781.46,751.35,474.17,1.45
F_MEG01_MC_FI_SIM01_302,706.50,2171.50,960.14,750.60,486.83,1.42
F_MEG01_MC_FI_SIM01_303,630.38,822.24,688.72,664.42,65.33,1.65
F_MEG01_MC_FI_SIM01_304,689.39,781.21,739.66,761.30,35.21,1.54
F_MIN01_EU_FN_BEN01_101,351.23,2297.12,601.41,449.15,527.29,1.78
F_MIN01_EU_FN_BEN01_102,109.19,453.58,393.49,415.59,83.74,1.91
F_MIN01_EU_FN_BEN01_103,382.49,1816.22,529.70,417.45,366.21,1.50
F_MIN01_EU_FN_BEN01_104,206.13,449.51,325.64,375.90,103.39,1.60
F_REG01_EU_FN_GIO01_201,218.23,752.14,587.98,668.35,161.98,2.07
F_SPI01_EU_MN_NAI01_101,248.06,707.72,517.69,561.67,98.37,1.95
F_SPI01_EU_MN_NAI01_102,414.62,642.88,520.49,528.95,45.98,2.15
F_SPI01_EU_MN_NAI01_103,257.14,619.28,484.28,520.15,104.96,2.09
F_SPI01_EU_MN_NAI01_104,245.53,640.35,453.27,480.59,116.67,2.09
F_SPI01_EU_MN_NAI01_201,255.69,2580.69,723.78,544.87,696.18,2.30
F_SPI01_EU_MN_NAI01_202,225.89,2260.74,396.32,279.91,373.03,1.95
F_SPI01_EU_MN_NAI01_203,478.18,1469.10,549.37,520.90,161.73,2.19
F_SPI01_EU_MN_NAI01_301,480.78,698.79,538.52,538.97,43.64,2.29
F_WHO01_MC_FI_SIM01_101,855.15,964.29,913.06,917.42,30.70,2.04
F_WHO01_MC_FI_SIM01_102,678.57,883.97,839.84,864.37,53.54,1.98
F_WHO01_MC_FI_SIM01_103,551.68,2486.87,1206.28,1125.86,398.98,1.71
F_WHO01_MC_FI_SIM01_301,639.62,1967.66,1093.29,723.64,558.70,1.31
F_WHO01_MC_FI_SIM01_302,66.47,1890.92,864.98,689.58,516.29,1.38
F_WHO01_MC_FI_SIM01_303,613.25,1518.31,789.36,694.95,298.16,1.30
F_WHO01_MC_FI_SIM01_304,923.68,1061.19,1010.76,1011.50,44.12,1.25
F_WHO01_MC_FI_SIM01_306,990.07,1722.30,1157.83,998.63,317.88,1.09
